,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.back_CO2_vd_fd3_scaled,feature_importance.back_CO2_vd_fd2_scaled,feature_importance.back_CO2_vd_scaled,feature_importance.back_CO2_vd_fd1_scaled
89,89,0.7654320987654321,0.7666037348469475,0.7343138788921921,0.8431387889219214,1.602574336693791,0.6480164392726808,0.04310341135652878,0.6524397412865302,1.936667051032962,0.08436213991769542,0.08271604938271598,0.04526748971193412,0.06008230452674892
90,90,0.7818930041152263,0.7823765408429737,0.7316806722689075,0.8563865546218488,1.0174919968716536,0.5970002727915262,0.1630368629734625,1.8976276802021348,1.2526348606921385,0.09012345679012344,0.07901234567901234,0.045679012345679004,0.05761316872427983
91,91,0.7901234567901234,0.7823964812542175,0.7560810810810811,0.8517069701280228,1.4801116304149222,0.7264927225784489,0.368415035687048,1.7491468101988943,0.5603584077474796,0.07201646090534974,0.08395061728395056,0.06337448559670777,0.04156378600823041
92,92,0.8065843621399177,0.7986655711607629,0.7394050855589317,0.8636654405885176,1.5983291015454288,0.901331578835948,0.10223803052702393,1.2005997265144783,1.0462836567123959,0.07818930041152261,0.06666666666666667,0.07201646090534977,0.03333333333333331
93,93,0.7983539094650206,0.7996950396344331,0.7544945725915875,0.8189450474898236,1.4718412793885005,0.08952171612062329,0.09692731710748041,0.8597816797571579,2.208851829827507,0.0909465020576132,0.0880658436213992,0.07160493827160498,0.08641975308641976
94,94,0.7489711934156379,0.7454306437881317,0.7118391660461654,0.8061057334326136,2.0112055008913705,0.4252302257242617,0.6193150497223836,1.1973812634468257,0.7882357060966988,0.05720164609053502,0.06543209876543211,0.07160493827160497,0.04732510288065846
95,95,0.8065843621399177,0.8048255167625203,0.7696969696969697,0.8759129759129759,1.5147998124247775,0.7921618840530349,0.08804984881802176,1.5133823748469153,0.886925361789991,0.06748971193415637,0.06255144032921808,0.07078189300411522,0.05267489711934157
96,96,0.8024691358024691,0.8000186014161338,0.7554373900527747,0.845594114824884,1.6534541894792767,0.4782797254760826,0.1368963435741523,1.742896209913258,1.0587645150480949,0.09670781893004117,0.07119341563786011,0.07366255144032921,0.07777777777777777
97,97,0.757201646090535,0.749211225346491,0.7177197802197802,0.8650231347599769,1.9072560756920243,0.8910233362109704,0.44638975248459034,1.260395926774711,0.34500276546267034,0.05596707818930039,0.046913580246913576,0.044032921810699566,0.025925925925925908
98,98,0.8189300411522634,0.816257103664511,0.7805649891941957,0.8937171966656375,0.9207129797699363,0.591935930778302,-0.24056805488014735,1.8614080139397151,1.4594908529674073,0.08847736625514409,0.06872427983539099,0.08312757201646094,0.05185185185185189
