,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.C_mid_CO2_scaled,feature_importance.C_mid_CO2_fd1_scaled,feature_importance.C_mid_CO2_fd2_scaled,feature_importance.C_mid_CO2_fd3_scaled,feature_importance.C_top_CO2_scaled,feature_importance.C_top_CO2_fd1_scaled,feature_importance.C_top_CO2_fd2_scaled,feature_importance.C_top_CO2_fd3_scaled
74,74,0.9244516653127539,0.9201716738197425,0.9262882351377926,0.9463684923861915,0.0021121039805038766,0.033956133225020446,0.03184402924451657,0.010966693744922873,0.0012185215272136896,0.009829406986190281,0.006742485783915564,0.03200649878147832
75,75,0.9228269699431356,0.9167397020157756,0.9230420686172898,0.9533165909272104,0.0019496344435416813,0.04800974817221759,0.02940698619008919,0.02242079610073111,-0.0009748172217710627,0.012591389114541052,0.027132412672623785,0.005117790414297274
76,76,0.9220146222583265,0.9166666666666666,0.9229623428738474,0.9544393951473599,-0.0018683996750610277,0.04451665312753872,0.04029244516653119,0.0005686433793664625,-0.0019496344435416813,0.04622258326563777,0.010641754670999148,0.0038992688870835845
77,77,0.9187652315190902,0.9133448873483535,0.9198251348693827,0.9581253820191874,-0.006173842404549101,0.04313566206336317,0.08505280259951253,0.0077173030056865155,0.002924451665312633,0.010479285134037508,0.011779041429731851,0.005848903330625488
78,78,0.9179528838342811,0.9120974760661444,0.918671769114247,0.9462116984240877,-0.010479285134037286,0.07034930950446794,0.037530463038180306,0.02965069049553215,0.006904955320877426,0.00820471161657188,0.054589764419171294,0.002680747359870117
79,79,0.9285134037367994,0.9250425894378195,0.930981423901778,0.9449068537564113,0.007879772542648378,0.10081234768480907,0.05101543460601132,0.03671811535337133,0.006498781478472826,0.060032493907392404,0.10471161657189265,0.019008935824533002
80,80,0.9203899268887084,0.9150779896013865,0.9214608413723457,0.9534295357304208,8.123476848087563e-05,0.038748984565393885,0.05434606011372878,0.01462225832656372,-0.0008123476848092004,0.004630381803411687,0.031194151096669454,0.0006498781478474491
81,81,0.9301380991064175,0.9264957264957265,0.9323487204018177,0.9481198012171465,0.00942323314378557,0.10032493907392359,0.11616571892770111,0.045735174654752186,0.00722989439480104,0.04004874086108845,0.06043866774979689,0.0344435418359057
82,82,0.9098294069861901,0.9032258064516129,0.9103590315979696,0.9417390842169603,0.0004061738424046002,0.10714865962632014,0.058813972380178714,0.018927701056052015,0.0012185215272135785,0.02721364744110477,0.11860276198212838,-0.0013809910641753298
83,83,0.9244516653127539,0.9196197061365601,0.9257514151319461,0.9579765606314278,0.00381803411860282,0.01705930138099121,0.05312753858651509,0.0032493907392364685,-0.00040617384240448917,0.03964256701868407,0.0674248578391552,-0.0003249390739235025
