,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.A_low_CO2_scaled,feature_importance.A_low_CO2_fd1_scaled,feature_importance.A_low_CO2_fd2_scaled,feature_importance.A_low_CO2_fd3_scaled,feature_importance.A_top_CO2_scaled,feature_importance.A_top_CO2_fd1_scaled,feature_importance.A_top_CO2_fd2_scaled,feature_importance.A_top_CO2_fd3_scaled
20,20,0.9151020408163265,0.9121621621621622,0.9180276213462054,0.9632367927058192,0.021306122448979448,0.00897959183673469,0.010285714285714231,0.0022857142857141133,0.003836734693877464,0.01975510204081643,0.013959183673469489,0.014122448979591806
21,21,0.929795918367347,0.9256055363321799,0.9310270850093859,0.9693376240278895,0.006367346938775498,0.0071836734693878634,0.016081632653061284,0.001795918367346827,0.001959183673469367,0.015755102040816427,0.04040816326530616,0.016000000000000014
22,22,0.9314285714285714,0.9273356401384083,0.932669616519174,0.9624778761061947,0.001224489795918271,0.0011428571428571122,0.023673469387755053,0.0010612244897957313,-0.005224489795918386,0.011020408163265327,0.029306122448979566,0.043102040816326403
23,23,0.9110204081632653,0.9092422980849292,0.9150040225261464,0.9599973183159023,0.14057142857142868,0.018530612244897937,0.04114285714285704,0.01836734693877551,0.11502040816326542,0.015836734693877585,0.05902040816326537,0.008489795918367404
24,24,0.9077551020408163,0.9049621530698065,0.9109546795387504,0.9488441941539286,0.13053061224489804,0.010285714285714231,0.0212244897959184,0.004816326530612369,0.12702040816326532,0.0077551020408163085,0.09542857142857131,0.05012244897959173
25,25,0.9330612244897959,0.9291882556131261,0.9344395280235989,0.958535800482703,0.012489795918367297,0.042857142857142816,0.030857142857142805,-0.00432653061224475,-0.0071020408163264825,0.004489795918367401,0.03755102040816327,0.009387755102040818
26,26,0.9224489795918367,0.9185946872322194,0.9243362831858407,0.9518610887637436,0.1152653061224489,0.011183673469387867,0.011020408163265105,0.008326530612244865,0.09902040816326518,0.015591836734693887,0.04359183673469391,0.028081632653061073
27,27,0.9159183673469388,0.9126378286683631,0.918530437114508,0.9558407079646017,-0.0005714285714286671,0.0071836734693878634,-0.000653061224489826,0.0013877551020406997,-0.014693877551020362,0.001224489795918382,0.014204081632653187,0.005632653061224402
28,28,0.889795918367347,0.8883374689826302,0.894160632877447,0.9482381335478681,0.17338775510204085,0.07877551020408158,0.049142857142857155,0.05265306122448976,0.14955102040816315,0.050857142857142934,0.12269387755102035,0.09248979591836737
29,29,0.9102040816326531,0.9063032367972743,0.9124631268436578,0.9606972378653795,0.004734693877550988,0.029306122448979566,0.010204081632653073,0.003102040816326479,-0.02106122448979586,0.0209795918367347,0.01689795918367354,0.01828571428571424
