,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backtop_CO2_scaled,feature_importance.backtop_CO2_fd1_scaled,feature_importance.backtop_CO2_fd2_scaled,feature_importance.backtop_CO2_fd3_scaled,feature_importance.backtop_temperature_scaled,feature_importance.backtop_temperature_fd1_scaled,feature_importance.backtop_temperature_fd2_scaled,feature_importance.backtop_temperature_fd3_scaled,feature_importance.backtop_humidity_scaled,feature_importance.backtop_humidity_fd1_scaled,feature_importance.backtop_humidity_fd2_scaled,feature_importance.backtop_humidity_fd3_scaled
33,33,0.7981220657276995,0.7295597484276729,0.7780273086597198,0.8586058210564139,0.018309859154929553,0.022065727699530635,0.017840375586854362,-0.005164319248826321,0.032863849765258246,-0.0370892018779343,-0.023004694835680684,-0.04553990610328629,-0.04976525821596245,-0.015492957746478853,-0.018779342723004744,-0.0023474178403757318
34,34,0.8591549295774648,0.8235294117647058,0.8473769313690263,0.9338842975206612,0.11455399061032856,-0.033802816901408406,-0.011737089201877993,-0.011267605633802802,0.021126760563380143,-0.034272300469483485,-0.04225352112676051,-0.05211267605633807,0.05258215962441315,0.024882629107981113,0.015492957746478964,0.021126760563380365
35,35,0.8497652582159625,0.8095238095238095,0.8365073661516349,0.8991196550485087,0.08732394366197194,-0.032863849765258135,0.014084507042253724,-0.016901408450704092,0.07746478873239437,1.1102230246251565e-16,-0.0032863849765258912,-0.04319248826291067,-0.012206572769953072,0.004225352112676051,0.00375586854460086,0.006103286384976481
36,36,0.8075117370892019,0.7421383647798742,0.787594322673374,0.9246316924182536,0.07230046948356805,-0.028638497652582084,-0.04131455399061035,-0.0046948356807511304,0.011267605633802802,-0.06009389671361509,-0.09248826291079792,-0.08920187793427237,0.00187793427230043,0.008450704225352101,0.028638497652582084,0.016431924882629123
37,37,0.8262910798122066,0.7730061349693251,0.8093334531081566,0.9076536112109235,0.022535211267605604,-0.00985915492957734,0.027230046948356845,-0.023943661971830954,0.03896713615023473,-0.06478873239436622,-0.06150234741784033,-0.06995305164319254,0.015962441314554043,0.012206572769953072,-0.010798122065727611,-0.007511737089201831
38,38,0.8075117370892019,0.7421383647798742,0.787594322673374,0.8948077614085519,0.014084507042253502,-0.003755868544600971,-0.024882629107981336,0.013615023474178423,0.05305164319248834,-0.05211267605633807,-0.010798122065727722,-0.03661971830985933,-0.029577464788732466,-0.008920187793427181,0.004225352112676051,0.012206572769953072
39,39,0.8450704225352113,0.8070175438596491,0.8336776859504132,0.9300215594681996,0.11737089201877926,-0.0009389671361503815,-0.027230046948356956,0.0032863849765258912,0.0065727699530516714,-0.007511737089201942,-0.031924882629107976,-0.026291079812206686,-0.003755868544600971,0.00516431924882621,0.007042253521126862,-0.001877934272300541
40,40,0.8169014084507042,0.7607361963190185,0.7997664390945023,0.9299317283507006,0.0596244131455399,-0.0028169014084507005,0.00516431924882621,0.0023474178403756207,0.0046948356807512415,-0.05258215962441315,-0.04131455399061035,-0.06478873239436611,0.006103286384976592,0.035211267605633756,0.021126760563380254,0.022065727699530413
41,41,0.784037558685446,0.7012987012987013,0.7604204096298959,0.9184333453108156,0.00046948356807519076,-0.06525821596244119,-0.016901408450704203,-0.042253521126760396,-0.007042253521126751,-0.07793427230046945,-0.0737089201877934,-0.07511737089201875,0.007042253521126751,-0.014553990610328693,0.00563380281690129,0.00375586854460086
42,42,0.8497652582159625,0.8117647058823529,0.8378099173553719,0.9319080129356809,0.07042253521126773,-0.0014084507042253502,-0.00798122065727691,-0.012206572769953072,0.021596244131455444,-0.015023474178403662,-0.020187793427230094,-0.032394366197183055,-0.007042253521126751,0.012676056338028263,0.009389671361502261,0.024413145539906145
43,43,0.8356807511737089,0.7904191616766467,0.821505569529285,0.8774703557312253,0.05492957746478866,0.008920187793427292,0.009389671361502261,-0.012206572769953072,0.04131455399061024,-0.023004694835680684,-0.020187793427230094,-0.030046948356807546,-0.005633802816901512,0.018779342723004633,-1.1102230246251565e-16,0.031455399061032896
44,44,0.8497652582159625,0.8095238095238095,0.8365073661516349,0.9020840819259792,0.03849765258215965,-0.025352112676056304,-0.020657276995305063,0.015023474178403884,0.06619718309859157,-0.012206572769953072,-0.015023474178403662,-0.018309859154929553,-0.007511737089201942,0.007042253521126862,0.014084507042253724,0.011267605633802913
45,45,0.8403755868544601,0.7951807228915663,0.8256378009342435,0.8369565217391305,0.06150234741784044,-0.0009389671361502705,0.007042253521126862,0.0046948356807511304,0.05492957746478877,-0.011267605633802913,-0.030985915492957705,-0.026291079812206686,-0.018779342723004633,0.009859154929577563,0.003755868544600971,-0.0014084507042254613
