,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.righttop_CO2_scaled,feature_importance.righttop_CO2_fd1_scaled,feature_importance.righttop_CO2_fd2_scaled,feature_importance.righttop_CO2_fd3_scaled
142,142,0.9083665338645418,0.8878048780487805,0.9253828274541974,0.985575608422204,-0.00039840637450183625,0.1525896414342629,0.18446215139442224,0.23067729083665323
143,143,0.8406374501992032,0.7894736842105263,0.8352816516270167,0.9382690730106645,0.13824701195219113,0.010756972111553798,0.029880478087649487,0.0031872509960160222
144,144,0.6334661354581673,0.0,0.5,0.9400464861908668,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
145,145,0.6334661354581673,0.0,0.5,0.9194011484823627,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
146,146,0.8605577689243028,0.8275862068965517,0.8716160787530762,0.9376538146021329,0.10438247011952184,0.08844621513944217,0.09043824701195213,0.1254980079681275
147,147,0.8565737051792829,0.8301886792452831,0.8776319387476074,0.9369701941482089,0.03944223107569733,0.031872509960159445,-0.005577689243027817,0.005976095617529875
148,148,0.8764940239043825,0.8530805687203792,0.8979354662291497,0.978876127973749,-0.01673306772908356,0.31235059760956174,0.2756972111553784,0.27609561752988043
149,149,0.8406374501992032,0.8,0.8467322942302433,0.8692234071643423,0.2079681274900398,0.02788844621513953,0.03426294820717135,0.0011952191235059528
150,150,0.6334661354581673,0.0,0.5,0.9319114027891715,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
151,151,0.8565737051792829,0.8252427184466019,0.8707615531856714,0.8793409898824173,0.09800796812749002,0.01912350597609569,0.0019920318725099584,0.015537848605577609
152,152,0.848605577689243,0.8155339805825242,0.8621821164889254,0.9258271807492481,0.09880478087649402,0.015139442231075773,0.01872509960159363,-0.0015936254980079
153,153,0.8047808764940239,0.6711409395973155,0.7497265518184304,0.9415504511894996,-0.012749003984063756,0.0031872509960159112,-0.013545816733067761,-0.0015936254980080111
154,154,0.8685258964143426,0.847926267281106,0.8962264150943396,0.9703992343450917,-0.007569721115537886,0.22151394422310755,0.1047808764940239,0.059362549800796915
155,155,0.8605577689243028,0.8372093023255814,0.8853568498769484,0.9539239814055237,0.08286852589641436,0.04023904382470134,0.05458167330677299,0.007569721115537775
156,156,0.6334661354581673,0.0,0.5,0.9061389116762373,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
157,157,0.9282868525896414,0.9081632653061225,0.9365258408531583,0.9807219031993437,0.03266932270916334,0.29083665338645404,0.18366533864541823,0.15697211155378477
158,158,0.8207171314741036,0.7398843930635838,0.7943669674596664,0.9353295050587913,0.04183266932270924,0.020318725099601753,0.00039840637450194727,0.015936254980079778
159,159,0.8844621513944223,0.861244019138756,0.9042247744052503,0.9692370795734209,0.03585657370517936,0.3290836653386454,0.24541832669322705,0.2187250996015936
160,160,0.8286852589641435,0.7189542483660131,0.780045118949959,0.9518047579983593,0.012749003984063756,0.00517928286852587,-0.004382470119521975,0.00039840637450194727
161,161,0.6334661354581673,0.0,0.5,0.9088733934919333,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
162,162,0.8247011952191236,0.7608695652173914,0.8112523926715888,0.9314328684714247,0.1525896414342629,0.021513944223107595,0.0023904382470120167,0.03784860557768932
163,163,0.6334661354581673,0.0,0.5,0.9019688269073011,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
164,164,0.852589641434263,0.8246445497630331,0.8721971561389117,0.9170768389390211,0.05219123505976109,0.02589641434262946,0.026294820717131517,-0.002788844621513964
165,165,0.6334661354581673,0.0,0.5,0.9245283018867925,-0.0003984063745020583,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
166,166,0.8565737051792829,0.8301886792452831,0.8776319387476074,0.9511211375444354,0.13266932270916332,0.06613545816733069,0.044223107569721254,0.015936254980079778
167,167,0.852589641434263,0.8262910798122066,0.874487284659557,0.9541974295870933,0.07729083665338643,0.00039840637450194727,0.03625498007968142,0.1047808764940239
168,168,0.848605577689243,0.8137254901960784,0.85989198796828,0.8612250478534318,-0.0015936254980079,-0.0003984063745020583,-0.0019920318725099584,0.032270916334661504
169,169,0.8247011952191236,0.7528089887640449,0.8043820071096528,0.9194011484823627,0.04063745019920317,0.033466135458167345,0.025498007968127512,0.009561752988047845
170,170,0.6334661354581673,0.0,0.5,0.9144790812141099,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
171,171,0.8605577689243028,0.8309178743961353,0.876196335794367,0.8571233251298879,0.06334661354581672,0.007968127490039945,0.013545816733067761,0.0023904382470120167
