,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.righttop_CO2_scaled,feature_importance.righttop_CO2_fd1_scaled,feature_importance.righttop_CO2_fd3_scaled,feature_importance.righttop_CO2_fd2_scaled
80,80,0.9672727272727273,0.9669955080213904,0.9460159952606635,0.9951125592417062,2.3679024913054842,1.9687699931130103,1.6067494639781652,0.8939645319589317,0.7221899877754445,0.2276363636363637,0.06981818181818183,0.008000000000000018,-0.0036363636363636598
81,81,0.9709090909090909,0.9711024135681671,0.9613636363636364,0.9938842975206612,2.4289050073879803,1.6771214875176879,1.9744476548273355,1.3356434014344265,0.32953232779918235,0.210909090909091,0.024727272727272764,0.0010909090909091313,-0.002545454545454484
82,82,0.9563636363636364,0.9556265906545861,0.9095177894166516,0.9855517428210222,2.8357003786131,1.32690851413619,2.291269584233307,0.7005235163302463,0.45247599353163154,0.18109090909090914,0.01090909090909098,0.0072727272727273196,0.010181818181818247
83,83,0.9527272727272728,0.9528948180993496,0.9276304606493286,0.9872514023457419,1.4593104901993716,2.761362052354885,1.6597295564815135,0.8570869743528756,1.0182174724808046,0.17963636363636365,0.0632727272727273,0.007636363636363675,-0.0021818181818181958
84,84,0.9672727272727273,0.9675499465240641,0.9613911444767886,0.9953271028037383,2.687063899949591,2.4053017046950833,1.2956439093666814,0.398322568942168,0.8156861827348878,0.22981818181818178,0.04254545454545457,0.05381818181818184,0.008363636363636373
85,85,0.9563636363636364,0.9557530051647698,0.9194390084801043,0.9876060013046315,2.041818761307647,2.01541476295583,1.999552186361598,0.6651011595990134,0.9720523439500414,0.18763636363636368,0.0225454545454546,0.021454545454545493,0.01345454545454553
86,86,0.96,0.9594352941176472,0.9313186813186813,0.9926739926739927,1.9988323364705645,2.4974782865279472,2.119004450660532,0.8597075064641589,-0.03738513697687054,0.23672727272727268,0.03272727272727268,-0.0003636363636363993,-0.002181818181818207
87,87,0.9672727272727273,0.9673674426333363,0.9555308717634442,0.9946376589551096,1.3756446660078783,1.9250226729082054,1.9181649427547396,0.8816442265735673,1.425848823185573,0.256,0.0007272727272727431,0.01890909090909092,0.007636363636363675
88,88,0.9636363636363636,0.9631530569886735,0.9327427300174798,0.993723184490704,1.4354457305688524,2.2174514748690943,1.9165791347582763,0.7513112406000382,1.1698160404118558,0.21745454545454543,0.008363636363636351,0.0003636363636363438,0.001454545454545464
89,89,0.9636363636363636,0.9633947103125186,0.9381941091260261,0.9951714147754709,1.8574534760265213,2.0765955946462262,2.009181740979352,1.3076124889228558,0.24409889394455347,0.20727272727272728,0.006545454545454521,0.015636363636363615,0.010181818181818136
