,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.leftlow_CO2_scaled,feature_importance.leftlow_humidity_scaled,feature_importance.leftlow_temperature_scaled
20,20,0.9745454545454545,0.9750471455127775,0.9762038073908175,0.9971071295259426,2.07426136683781,2.3253342884248402,2.1068788715862072,0.9042511949110793,1.8026855242978752,0.24072727272727268,0.011272727272727212,0.007999999999999941
21,21,0.9781818181818182,0.9783305785123966,0.9724317077258253,0.9989106753812635,1.3197500283842967,2.436212823535467,2.233383643409879,1.5011570767386702,1.6763173138422112,0.23672727272727273,0.03163636363636361,0.01854545454545451
22,22,0.9890909090909091,0.9891276242073507,0.9863636363636363,0.9993388429752067,2.1246052834188696,2.028272433364625,2.222341058334512,1.4947090689101943,1.1582947420203187,0.2665454545454546,0.028727272727272758,0.026545454545454594
23,23,0.9818181818181818,0.9819840866108097,0.9821627204830764,0.9989671063085969,1.6653514063175985,2.3798504287872593,3.1252937554268625,0.6333848351100195,1.3975296368093066,0.25381818181818183,0.03781818181818179,0.03672727272727272
24,24,0.9745454545454545,0.9746248414146798,0.9649213411727315,0.9963451453996505,1.2635474955957688,2.986819213574109,2.8040680631110155,1.594375145362103,0.3197870243140314,0.23745454545454542,0.044363636363636307,0.03563636363636358
25,25,0.9818181818181818,0.9819612805347652,0.982708827014218,0.9986670616113744,1.6379058115406315,2.5763023660925044,2.529744968575484,1.6501441266018935,1.1245213135333414,0.29418181818181816,0.025818181818181806,0.022545454545454525
26,26,0.9818181818181818,0.9819882965379502,0.9820537582488331,0.9977466602285531,1.9890315223957968,2.1985203072720596,2.557373197561378,0.9480867259870218,1.4481572124062676,0.2756363636363637,0.025090909090909073,0.03418181818181818
27,27,0.9818181818181818,0.981634606235973,0.962618702720103,0.9945276034122001,1.5324113988554093,2.242594036179541,2.4576312909984135,1.3404446759242283,1.5299800399395667,0.2636363636363636,0.025454545454545417,0.025818181818181796
28,28,0.9818181818181818,0.9820065474062853,0.98155702872684,0.9992350841407445,2.2088569095784347,2.0544051966838834,2.65411379326993,0.755592636707104,0.7803305608903259,0.2418181818181818,0.03418181818181817,0.014909090909090905
29,29,0.9927272727272727,0.9927272727272727,0.9873806901615272,0.9988069016152716,2.0081756908406563,2.0432497509067225,2.5300779165348004,0.5043894439067622,1.836317217438736,0.23381818181818176,0.0414545454545454,0.030545454545454497
30,30,0.9672727272727273,0.967372270148304,0.9545276208411801,0.995291902071563,1.7362399334353396,2.3316082596122847,2.8289363402440553,1.281274878564152,1.4216804047378944,0.2712727272727273,0.013090909090909108,0.009818181818181827
31,31,0.9854545454545455,0.9855419309372798,0.9845809792843692,0.9984306340238543,1.6411719211066738,2.73013350064354,2.396656864266224,1.0183538317343637,1.2098458713568456,0.2781818181818182,0.03127272727272727,0.030545454545454553
