,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.fronttop_CO2_scaled,feature_importance.fronttop_temperature_scaled,feature_importance.fronttop_humidity_scaled
156,156,0.8875,0.8524590163934426,0.8799941245593419,0.9485898942420682,0.11958333333333326,0.061666666666666536,-0.0050000000000003375
157,157,0.6166666666666667,0.061224489795918366,0.5061692126909518,0.9336809635722679,-0.023749999999999938,-0.0012499999999999734,0.009583333333333388
158,158,0.8541666666666666,0.782608695652174,0.8221210340775558,0.9457256169212692,0.12916666666666654,0.08041666666666669,0.07166666666666666
159,159,0.65,0.20754716981132076,0.549647473560517,0.9383813160987073,-0.0050000000000000044,0.02833333333333332,0.003750000000000031
160,160,0.9,0.8695652173913043,0.8942420681551116,0.9464600470035253,0.15166666666666673,0.06999999999999995,0.004583333333333273
161,161,0.8875,0.850828729281768,0.8779377203290247,0.9481492361927145,0.13666666666666671,0.08166666666666655,-0.006666666666666821
162,162,0.8916666666666667,0.8571428571428571,0.8833725029377204,0.9446974148061105,0.16166666666666685,0.07750000000000001,0.0033333333333332993
163,163,0.8583333333333333,0.7875,0.8254994124559343,0.9430082256169213,0.1349999999999999,0.09458333333333335,0.022916666666666696
164,164,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9380141010575793,0.1925,0.06666666666666665,0.028333333333333433
165,165,0.7791666666666667,0.6131386861313869,0.7181257344300822,0.9487367802585194,0.1133333333333334,0.012916666666666687,0.011666666666666603
166,166,0.9166666666666666,0.8901098901098901,0.9098119858989424,0.9386016451233843,0.20291666666666663,0.16625,0.015416666666666523
167,167,0.9041666666666667,0.8743169398907104,0.89762044653349,0.9389688601645123,0.21250000000000002,0.08333333333333326,-0.0008333333333332416
168,168,0.9083333333333333,0.8804347826086957,0.9030552291421856,0.935590481786134,0.22249999999999992,0.0641666666666667,-0.0012499999999999734
169,169,0.7625,0.5581395348837209,0.6922737955346651,0.9502056404230318,0.1154166666666665,0.05499999999999994,0.022499999999999964
170,170,0.9083333333333333,0.8804347826086957,0.9030552291421856,0.9378672150411281,0.1925,0.06958333333333344,-1.1102230246251565e-16
171,171,0.9041666666666667,0.8743169398907104,0.89762044653349,0.9397032902467685,0.18874999999999997,0.06583333333333319,0.0033333333333331883
172,172,0.9083333333333333,0.8804347826086957,0.9030552291421856,0.9410252643948296,0.2283333333333334,0.07041666666666668,-0.004166666666666652
173,173,0.9125,0.8864864864864865,0.9084900117508813,0.9386016451233842,0.20708333333333329,0.07083333333333341,0.006666666666666599
174,174,0.9041666666666667,0.8743169398907104,0.89762044653349,0.9405846063454758,0.2008333333333333,0.06583333333333341,0.002083333333333326
175,175,0.9083333333333333,0.8817204301075269,0.9051116333725029,0.927144535840188,0.2300000000000001,0.06833333333333325,-0.003749999999999809
176,176,0.9125,0.8864864864864865,0.9084900117508813,0.9287602820211516,0.2366666666666667,0.0724999999999999,0.0
177,177,0.8291666666666667,0.7388535031847133,0.7915687426556992,0.9414659224441834,0.09708333333333341,0.09000000000000008,-0.05708333333333315
178,178,0.6166666666666667,0.0,0.5,0.9446974148061105,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
179,179,0.9083333333333333,0.8817204301075269,0.9051116333725029,0.9325058754406581,0.23291666666666666,0.0658333333333333,0.013333333333333197
180,180,0.8291666666666667,0.7248322147651006,0.7833431257344301,0.952629259694477,0.12791666666666668,0.06458333333333344,-0.03749999999999987
