,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.leftlow_CO2_scaled,feature_importance.leftlow_CO2_fd1_scaled,feature_importance.leftlow_CO2_fd2_scaled,feature_importance.leftlow_CO2_fd3_scaled
142,142,0.9260700389105059,0.9035532994923858,0.9352108036890645,0.9812252964426877,0.02101167315175101,0.13229571984435795,0.0797665369649806,0.10155642023346312
143,143,0.9221789883268483,0.898989898989899,0.9321805006587616,0.9849143610013175,0.14708171206225695,0.17704280155642027,0.1400778210116732,0.07315175097276272
144,144,0.914396887159533,0.8932038834951457,0.9333333333333333,0.9845849802371542,0.09805447470817119,0.14980544747081714,0.06536964980544746,0.10389105058365755
145,145,0.9182879377431906,0.896551724137931,0.9339591567852437,0.9877470355731225,0.08910505836575877,0.1739299610894941,0.12879377431906613,0.024902723735408472
146,146,0.9221789883268483,0.9,0.9345849802371542,0.9841238471673254,0.05369649805447485,0.11517509727626463,0.1062256809338522,0.0723735408560312
147,147,0.8949416342412452,0.8720379146919431,0.9181818181818182,0.9711462450592886,0.06108949416342424,0.07937743190661484,0.10544747081712058,0.0797665369649806
148,148,0.8910505836575876,0.8679245283018868,0.9151515151515152,0.9802371541501976,0.18638132295719856,0.10466926070038918,0.09961089494163422,0.08715953307392998
149,149,0.8638132295719845,0.8341232227488151,0.8843214756258235,0.9449275362318841,0.2626459143968872,-0.0007782101167316258,0.0015564202334629185,-0.007392996108949501
150,150,0.9105058365758755,0.8866995073891626,0.925494071146245,0.9810935441370224,0.1455252918287938,0.1319066147859922,0.08910505836575877,0.05525291828793777
151,151,0.8988326848249028,0.8725490196078431,0.9139986824769433,0.9789855072463769,0.1338521400778211,0.1264591439688717,0.11011673151750967,0.09143968871595332
152,152,0.914396887159533,0.8921568627450981,0.9309288537549407,0.9749670619235837,0.1638132295719844,0.14824902723735411,0.09494163424124513,0.1225680933852139
153,153,0.9105058365758755,0.8878048780487805,0.9278985507246377,0.9852437417654809,0.07665369649805454,0.17315175097276259,0.17509727626459137,0.08560311284046696
154,154,0.8638132295719845,0.8341232227488151,0.8843214756258235,0.9222661396574441,0.2206225680933852,0.00038910505836564635,-0.0023346303501946553,-0.0011673151750973831
155,155,0.9066147859922179,0.8811881188118812,0.9200592885375494,0.9804347826086957,0.23774319066147853,0.15642023346303502,0.13424124513618685,0.07431906614785999
156,156,0.9221789883268483,0.900990099009901,0.9369894598155468,0.985638998682477,0.08404669260700404,0.18210116731517512,0.13112840466926068,0.051361867704280084
