,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backlow_CO2_scaled,feature_importance.backlow_temperature_scaled,feature_importance.backlow_humidity_scaled
156,156,0.8458333333333333,0.7730061349693251,0.8153642773207991,0.9362514688601645,0.09791666666666654,0.046666666666666634,0.007083333333333441
157,157,0.6625,0.25688073394495414,0.5659518213866039,0.9246474735605171,0.007499999999999951,0.04500000000000004,0.040416666666666656
158,158,0.8208333333333333,0.7152317880794702,0.7765863689776733,0.9325793184488838,0.11083333333333334,0.06333333333333324,0.04999999999999993
159,159,0.7416666666666667,0.515625,0.6692126909518213,0.9245740305522915,0.039166666666666794,0.10916666666666663,0.02041666666666675
160,160,0.8833333333333333,0.8426966292134831,0.8704465334900118,0.9423472385428907,0.14208333333333334,0.06374999999999997,0.046666666666666745
161,161,0.8375,0.7577639751552795,0.8044947121034077,0.934048178613396,0.11166666666666669,0.04625000000000001,-0.007499999999999951
162,162,0.8291666666666667,0.7354838709677419,0.7895123384253819,0.9343419506462984,0.09916666666666674,0.04541666666666666,0.009583333333333388
163,163,0.8083333333333333,0.684931506849315,0.7582256169212691,0.9308901292596944,0.08416666666666672,0.06833333333333336,0.017916666666666692
164,164,0.8958333333333334,0.8648648648648649,0.8908636897767332,0.9344888366627497,0.1529166666666667,0.050416666666666776,0.022499999999999964
165,165,0.7458333333333333,0.5271317829457365,0.674647473560517,0.9396298472385429,0.08916666666666673,0.02083333333333337,0.015000000000000013
166,166,0.8833333333333333,0.8372093023255814,0.86427732079906,0.9044506462984725,0.23416666666666663,0.2283333333333334,-0.003750000000000031
167,167,0.8458333333333333,0.7730061349693251,0.8153642773207991,0.9156139835487661,0.15416666666666667,0.0625,-0.028333333333333433
168,168,0.8791666666666667,0.8304093567251462,0.8588425381903643,0.9352967097532315,0.16083333333333338,0.057916666666666616,0.043333333333333446
169,169,0.7291666666666666,0.4628099173553719,0.6487955346650999,0.9472679200940071,0.09833333333333327,0.06708333333333327,0.028750000000000053
170,170,0.8791666666666667,0.8323699421965318,0.8608989424206815,0.9331668625146886,0.14708333333333323,0.060416666666666674,0.00666666666666671
171,171,0.8833333333333333,0.8409090909090909,0.8683901292596945,0.9370593419506463,0.15749999999999997,0.05624999999999991,0.025833333333333375
172,172,0.8708333333333333,0.8143712574850299,0.8459165687426558,0.9398501762632196,0.17583333333333329,0.053750000000000075,0.015000000000000013
173,173,0.8916666666666667,0.8571428571428571,0.8833725029377204,0.9324324324324323,0.16458333333333341,0.06249999999999989,0.018749999999999933
174,174,0.8833333333333333,0.8409090909090909,0.8683901292596945,0.9380141010575793,0.15749999999999997,0.06166666666666665,0.03208333333333324
175,175,0.9083333333333333,0.8817204301075269,0.9051116333725029,0.9198002350176264,0.19958333333333333,0.0691666666666666,0.0012500000000000844
176,176,0.8916666666666667,0.8539325842696629,0.8792596944770859,0.9287602820211516,0.18000000000000005,0.057499999999999996,0.012500000000000067
177,177,0.7875,0.6330935251798561,0.7289952996474736,0.9200205640423031,0.054166666666666585,0.07833333333333325,-0.03583333333333327
178,178,0.6166666666666667,0.0,0.5,0.9318448883666274,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
179,179,0.9,0.8709677419354839,0.8962984723854289,0.9319183313748532,0.18375000000000008,0.05458333333333343,0.010833333333333472
180,180,0.7916666666666666,0.6428571428571429,0.7344300822561692,0.9413924794359576,0.07874999999999988,0.05249999999999999,-0.015416666666666856
181,181,0.8666666666666667,0.8072289156626506,0.8404817861339601,0.9361045828437132,0.15041666666666675,0.05166666666666664,0.01375000000000004
182,182,0.875,0.8314606741573034,0.8616333725029377,0.937132784958872,0.14041666666666663,0.0558333333333334,0.04250000000000009
183,183,0.8916666666666667,0.8555555555555555,0.8813160987074031,0.940584606345476,0.1579166666666667,0.06499999999999995,0.05458333333333332
184,184,0.8166666666666667,0.7105263157894737,0.773207990599295,0.9310370152761458,0.1020833333333333,0.04083333333333328,-0.0012499999999998623
185,185,0.625,0.0625,0.5129259694477085,0.9292743830787309,0.00374999999999992,0.0033333333333332993,0.005833333333333357
186,186,0.9083333333333333,0.8817204301075269,0.9051116333725029,0.9341216216216217,0.2283333333333334,0.05583333333333351,0.0033333333333332993
187,187,0.8208333333333333,0.7189542483660131,0.7786427732079906,0.9351498237367802,0.07958333333333334,0.07625000000000004,0.0008333333333333526
188,188,0.8875,0.847457627118644,0.8738249118683901,0.9327262044653348,0.15375000000000005,0.06041666666666656,0.0012499999999998623
189,189,0.825,0.7236842105263158,0.782021151586369,0.9364717978848414,0.13916666666666666,0.029166666666666674,-0.013749999999999929
190,190,0.7041666666666667,0.40336134453781514,0.6202996474735605,0.9314042303172737,0.057083333333333264,0.05750000000000011,0.026666666666666727
191,191,0.8875,0.8439306358381503,0.8697121034077555,0.9354435957696826,0.1891666666666666,0.0820833333333334,0.0008333333333332416
192,192,0.8791666666666667,0.8304093567251462,0.8588425381903643,0.9344153936545241,0.13416666666666677,0.07583333333333331,0.012916666666666687
