,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.frontlow_CO2_scaled,feature_importance.frontlow_CO2_fd1_scaled,feature_importance.frontlow_CO2_fd2_scaled,feature_importance.frontlow_CO2_fd3_scaled
50,50,0.7822222222222223,0.7379679144385026,0.7772556390977443,0.8877084014383786,0.19066666666666665,0.016444444444444373,0.0022222222222222365,0.01288888888888895
51,51,0.8755555555555555,0.8409090909090909,0.8645799280810722,0.8832951945080091,0.06666666666666665,0.05511111111111111,0.040444444444444394,0.09244444444444444
52,52,0.8177777777777778,0.7759562841530054,0.8106815952925792,0.886400784570121,0.2546666666666667,0.06266666666666665,0.10488888888888892,0.02533333333333332
53,53,0.76,0.73,0.7651601830663615,0.8441484145145474,0.21466666666666667,0.023111111111111082,-0.015111111111111075,0.03022222222222226
54,54,0.7377777777777778,0.6910994764397905,0.7346355017979731,0.8861556064073227,0.23111111111111116,0.013777777777777778,0.03155555555555556,-0.016444444444444373
55,55,0.8311111111111111,0.7912087912087912,0.8236351748937562,0.8934292252370055,0.25022222222222223,0.12399999999999989,0.09422222222222221,0.1386666666666666
56,56,0.8177777777777778,0.7248322147651006,0.7822000653808434,0.9122262177182086,0.03688888888888897,0.05511111111111111,0.06488888888888888,0.028888888888888853
57,57,0.8266666666666667,0.8020304568527918,0.8316034651847009,0.9064236678653155,0.18177777777777782,0.03199999999999992,0.07733333333333337,0.05644444444444441
58,58,0.7644444444444445,0.7511737089201878,0.7806472703497875,0.8975972540045767,0.28311111111111115,0.18355555555555558,0.08444444444444454,0.04266666666666674
59,59,0.8177777777777778,0.7284768211920529,0.7838754494932985,0.8703824779339654,0.1066666666666668,0.06044444444444441,0.04266666666666674,0.028444444444444494
60,60,0.8622222222222222,0.8287292817679558,0.8549771167048055,0.9182739457339,0.19866666666666655,0.06266666666666654,0.12711111111111117,0.13555555555555554
61,61,0.7466666666666667,0.7323943661971831,0.7622589081399149,0.8613108859104283,0.30400000000000005,0.029333333333333322,0.013777777777777778,0.017333333333333423
62,62,0.8533333333333334,0.8070175438596491,0.8374060150375939,0.8893429225237006,0.07777777777777772,0.00666666666666671,0.003555555555555423,0.005333333333333301
